stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\CVUT\PIA\bouncingLogoSeminarWork\PIA_seminarWork_bouncingLogo\x64\Debug\allegro5.cfg r
system   D            wsystem.c:799  maybe_parent_dir                 [   0.00000] Also searching C:\CVUT\PIA\bouncingLogoSeminarWork\PIA_seminarWork_bouncingLogo\x64\
system   D            wsystem.c:854  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:760  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:763  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:267  al_install_system                [   0.00000] Allegro version: 5.2.6
system   D            wsystem.c:799  maybe_parent_dir                 [   5.74950] Also searching C:\CVUT\PIA\bouncingLogoSeminarWork\PIA_seminarWork_bouncingLogo\x64\
system   D            wsystem.c:854  _al_win_safe_load_library        [   5.74989] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:760  load_library_at_path             [   5.74996] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:763  load_library_at_path             [   5.75474] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   5.77666] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1778 d3d_create_display_locked        [   5.77824] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1779 d3d_create_display_locked        [   5.77830] al_display=000001D599EAE2A0
d3d      D         d3d_disp.cpp:1780 d3d_create_display_locked        [   5.77836] al_display->vt=000001D59BA211F0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   5.78277] found 288 format combinations
display  D   display_settings.c:212  debug_display_settings           [   5.78285] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   5.78292] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   5.78298] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   5.78304] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   5.78311] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78317] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   5.78324] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78330] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   5.78335] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78341] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   5.78346] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78352] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   5.78357] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78363] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   5.78368] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78373] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   5.78379] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78388] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   5.78394] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   5.78401] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   5.78406] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   5.78411] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   5.78416] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78421] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   5.78426] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78431] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   5.78436] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78441] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   5.78445] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78451] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   5.78456] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78461] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   5.78465] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78471] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   5.78475] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78481] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   5.78486] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   5.78491] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   5.78496] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   5.78500] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   5.78505] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78510] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   5.78514] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78519] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   5.78523] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78528] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   5.78532] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78537] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   5.78541] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78545] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   5.78551] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78556] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   5.78561] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
